기준 년 코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2020,2,A,골목상권,1000562,강서로47라길,3060716,7,9737328551,2311071864,1185343772,675165604,1152267202,1653296005,385035538,270491327,1701053910,403603329
2020,2,A,골목상권,1000561,강서로47길,3119920,7,11384983399,2754740031,1372557687,769872370,1355442617,1905612381,428092449,317853076,2008422911,472389877
2020,2,A,골목상권,1000560,강서로45다길,3706704,7,11811112023,2985336835,1443220725,860525478,1509046881,2029603758,449279758,344106831,1680587766,509403991
2020,2,A,골목상권,1000559,강서로45길,4106203,8,7273548185,1739678665,894806320,523939499,883067368,1275995980,293911371,204901388,1148835055,308412539
2020,2,A,골목상권,1000558,강서로35길,2483062,6,10827876159,2825542532,1311994461,793500312,1405668593,1802362648,406670586,325896451,1497666623,458573953
2020,2,A,골목상권,1000557,강서로29길,2510957,6,14132146281,3420006840,1723688292,1059195190,1717186313,2493556064,540815282,417936560,2157380347,602381393
2020,2,A,골목상권,1000556,강서로18길,2454112,6,20564269880,4951251433,2491355780,1500012045,2522497656,3676267674,761272345,597572663,3191208523,872831761
2020,2,A,골목상권,1000555,강서로17가길,2480344,6,15099820706,3650816472,1837759046,1119042034,1859470154,2694020205,567346158,442238054,2285388774,643739809
2020,2,A,골목상권,1000554,강서로15길,2486455,6,22965248699,5404047502,2829169950,1798247260,2746489958,4068276159,993320537,666584926,3504560104,954552303
2020,2,A,골목상권,1000553,가로공원로80길,2475736,6,15675537922,3806696023,1905625136,1148135600,1931618965,2784787285,578522201,458798060,2391069616,670285036
2020,2,A,골목상권,1000552,가로공원로76가길,2429238,5,18256301475,4518595534,2211162880,1333047649,2294177013,3201288892,665748896,538083795,2715918235,778278581
2020,2,A,골목상권,1000551,화곡로4길,2246866,5,6587426001,1749828685,797555609,476679145,880106259,1077175483,260440222,195483267,878762124,271395207
2020,2,A,골목상권,1000550,화곡로3길,2706741,6,5299553523,1333950954,651996624,385046152,675991056,908214079,209960563,152601968,754099716,227692411
2020,2,A,골목상권,1000549,지양로7길,2381872,5,5601587814,1686848296,643938030,371061852,826805519,808035954,180416406,171927118,691748903,220805736
2020,2,A,골목상권,1000548,중앙로55길,2462631,6,9022942889,2310778941,1117625635,669818137,1168911083,1519061101,393187044,264185397,1205072294,374303257
2020,2,A,골목상권,1000547,중앙로51길,2540948,6,11147829219,2796311836,1395130222,829596581,1419292439,1901372054,509008824,321503251,1513759247,461854765
2020,2,A,골목상권,1000546,중앙로47길,2803905,6,7337932357,2113294727,867092002,520364267,1030107968,1111002070,252920025,229735496,910135354,303280448
2020,2,A,골목상권,1000545,중앙로45길,2810879,6,9159900360,2467056398,1103931454,663442899,1215243769,1463639245,352338665,277611369,1238483045,378153516
2020,2,A,골목상권,1000544,중앙로36길,3974233,8,7225832277,1822143828,851817399,490316759,887718097,1191840641,245493943,208844787,1227582887,300073936
